sku,barcode
0101021      ,2000408392002                      
0101045      ,7750106010030
0101081      ,7750106010047
0101132      ,7750106010054
0101150      ,7750106001861                      
0101180      ,7750106003377
0101181      ,7750106003384
0101182      ,7750106003360
0101216      ,7750106001069
0101311      ,7750106101059                      
0101315      ,7750205000345
0101343      ,27750106187767
0101344      ,7750020532274                      
0101346      ,7750205000246                      
0101353      ,2000408391982                      
0101368      ,7750106003483
0101369      ,7750106000192
0101371      ,7750106002257
0101420      ,7750205000604
0101421      ,7750205000598
0101422      ,7750205000581
0101423      ,7750205000611
0101424      ,7750205000673
0101425      ,7750205000666
0101426      ,7750205000628
0101427      ,7750205000642
0101428      ,7750205000659
0101429      ,7750205000635
0101430      ,7750205000680
0101601      ,7750106001557                      
0101602      ,7750106001540                      
0101603      ,7750106001564                      
0101900      ,7750106010375
0101901      ,7750106127837
0101902      ,7750106001786
0101904      ,7750106000024
0101906      ,7750106000253
0101907      ,7750106000260
0101908      ,7750106000239
0101909      ,7750106001632
0101910      ,7750106001649
0101911      ,7750106001656
0101912      ,7750106001663
0101913      ,7750106000987
0101914      ,7750106001434
0101915      ,7750106002493
0101916      ,7750106002943
0101917      ,7750106010245
0101918      ,7750106000888
0101919      ,7750106002592
0101920      ,7750106002608
0101921      ,7750106002615
0101922      ,7750106002622
0101923      ,7750106002646
0101924      ,7750106002639
0101925      ,7750106003759
0101926      ,7750106003766
0101927      ,7750106003773
0101928      ,7750106000789
0101929      ,7750106000796
0101930      ,7750106000802
0101931      ,7750106000895
0101932      ,7750106003544
0101933      ,7750106003858
0101934      ,7750106003889
0101935      ,7750106003742
0101936      ,7750106003896                      
0102022      ,7750106737708
0102052      ,17750106182604
0102053      ,7750205182591
0102063      ,17750106001462
0102066      ,2000406625508                      
0102071      ,7750205798983
0102088      ,17750106002957
0102091      ,7750106020091
0102099      ,27750106000271
0102102      ,2000408391999                      
0102900      ,7750106182607
0102902      ,7750106001465
0102903      ,7750106000062
0102904      ,7750106002868
0102905      ,7750106264617
0102906      ,7750106003414
0102911      ,7750106002950
0102914      ,7750106003902
0102915      ,7750106000277
0102916      ,7750106000048
0102917      ,7750106001830
0103001      ,17750106000021
0103065      ,2000408391975                      
0103081      ,7750106001137                      
0104007      ,7750106001816                      
0104017      ,7750106003537
0104018      ,7750106002813
0105007      ,7750106003421
0105008      ,17750106003428
0105009      ,7750106949354
0105010      ,177501069493
0105015      ,7750106000208
0105016      ,17750106003435
0105017      ,7750106000215
0105018      ,177501060002
0105019      ,7750106000901
0105100      ,17750106002049
0105102      ,7750106002042
0105111      ,17750106002315
0105112      ,7750106002318
0105119      ,7750106003780
0107001      ,7750106001328                      
0107002      ,7750106001342                      
0107003      ,7750106001335                      
0107016      ,7750106003032
0107017      ,7750106003049
0107018      ,7750106002998
0107019      ,7750106003896                      
0107031      ,2000408392033                      
0107032      ,2000408392019                      
0107033      ,2000408392026                      
0107050      ,7750106002011
0107054      ,7750106001991
0107055      ,7750106002004
0108002      ,7750106002455
0108003      ,17750106003800
0108004      ,7750106003803
0202002      ,7750106000925
0202003      ,7750106000932
0202007      ,7750106003834
0202009      ,7750106003827
0204042      ,7756771001625
0204043      ,7756771001618
0204050      ,7756771000260
0204051      ,7756771000277
0204052      ,7756771000284
0204053      ,7756771000116
0204054      ,7756771000093
0204055      ,7756771000062
0204056      ,7756771000123
0204057      ,7756771000086
0204058      ,7756771000154
0204059      ,7756771000109
0204060      ,7756771000079
0204061      ,7756771000147
0204062      ,7756771000130
0204063      ,7756771001724
0204118      ,7756771001328
0206003      ,7756771001557
0207002      ,7750106003667
0209008      ,7759809000010
0209009      ,7752748006471
1100007      ,7750106003551
